"x","y"
146.655,245.831
144.894,241.547
143.565,235.837
140.835,230.654
135.413,229.427
130.482,228.585
130.084,227.286
128.943,226.01
127.621,223.162
126.119,222.091
120.748,219.348
116.674,218.741
111.844,218.4
115.365,213.246
120.379,209.0
123.565,206.408
120.236,207.523
114.44,209.913
109.003,209.884
107.681,209.099
100.687,209.25
105.155,202.486
108.056,200.997
105.226,199.654
98.7797,198.311
94.978,194.313
94.5533,191.842
91.4558,194.078
85.3691,198.735
84.5288,196.204
85.458,194.766
85.7657,194.334
86.7835,191.111
88.423,188.894
86.0842,188.827
82.1142,186.37
79.0091,185.284
76.0453,180.943
74.7362,178.843
71.3297,176.982
69.4376,174.728
68.4315,172.576
63.6912,171.208
57.2522,169.814
56.8353,163.187
62.4903,158.374
66.8217,155.131
64.3405,151.832
62.292,147.351
58.6826,139.003
55.8547,133.771
56.6222,128.402
61.0823,128.444
66.2827,127.496
68.029,125.672
65.3473,126.168
59.5448,122.424
59.5116,119.836
57.7338,123.397
54.2076,127.573
49.0614,122.974
43.566,116.107
41.1087,109.553
40.6987,102.265
39.0093,94.1341
33.817,87.6366
30.8888,82.5349
32.5211,76.9112
34.6271,69.8101
35.475,63.3156
34.7583,56.4318
34.1352,50.0917
35.0767,48.203
43.3752,48.1505
51.6729,48.098
59.9714,48.0454
68.2704,47.9929
76.5689,47.9403
84.8666,47.8878
93.1652,47.8353
101.464,47.7827
102.146,49.6026
102.586,57.4985
102.747,65.412
102.834,73.3276
102.869,81.2438
102.883,91.1843
102.897,101.125
102.91,111.065
107.517,115.673
112.124,120.28
118.852,126.942
125.663,133.519
132.869,140.321
140.017,147.186
147.13,154.085
154.217,161.011
161.281,167.96
168.323,174.933
175.336,181.936
182.302,188.982
189.039,196.235
190.794,199.73
192.779,203.923
195.249,207.526
194.337,214.106
191.779,219.992
190.225,226.272
188.46,231.491
189.966,236.373
191.576,239.13
187.011,244.322
179.212,245.465
171.37,246.297
162.871,247.165
154.361,247.932
146.655,245.83
146.655,245.831
171.222,242.904
179.092,242.072
186.906,240.87
186.205,238.626
184.479,232.861
185.761,226.884
187.583,223.206
187.788,219.847
190.859,212.798
191.295,208.859
189.222,204.613
187.108,200.691
185.942,198.326
179.659,191.426
173.07,184.792
166.429,178.207
159.764,171.648
153.082,165.106
146.389,158.576
139.687,152.055
132.978,145.542
126.263,139.033
119.544,132.53
112.82,126.031
106.093,119.535
99.0854,112.771
99.1011,103.426
99.102,95.8079
99.0943,88.1885
99.0824,80.5704
99.0666,72.9527
99.0499,65.9102
99.0331,58.8676
99.0164,51.825
91.2694,51.825
83.5233,51.825
75.7763,51.825
68.029,51.825
59.4207,51.8231
50.8119,51.8446
42.2066,52.0531
38.2368,56.3879
39.1264,61.4528
38.9159,66.6385
38.3501,72.4351
36.1893,77.785
34.6947,82.6545
37.9221,86.8367
42.48,93.4395
43.9354,101.256
44.6881,107.639
45.4921,111.386
49.687,117.687
54.3362,123.254
55.224,121.142
60.5397,117.159
62.6368,120.306
62.8786,123.191
66.3082,122.67
70.6943,122.469
68.9401,129.437
60.3299,131.479
62.395,138.13
66.0169,146.154
67.4254,151.469
68.8339,154.948
72.3083,154.438
78.4078,155.726
77.6403,160.65
71.3073,160.136
67.0336,158.683
62.8692,161.792
58.3424,169.29
63.5806,169.995
68.9801,169.251
76.4975,169.06
76.1319,174.567
74.7002,178.189
80.5663,175.798
86.1385,172.685
90.7707,170.598
95.5983,171.069
92.1523,176.321
85.2903,178.171
79.7113,180.994
77.5817,184.388
82.0614,183.595
85.8754,184.483
87.8371,187.816
93.9941,185.011
98.683,182.363
103.72,182.464
102.645,185.284
97.3872,187.448
94.6397,190.6
98.2115,190.262
103.685,189.618
103.455,195.635
103.592,197.854
106.248,195.713
108.276,193.807
111.496,193.485
110.627,198.343
109.903,200.437
105.657,205.667
103.124,208.603
109.702,206.876
113.783,207.3
118.333,207.164
126.109,206.81
123.116,211.495
118.37,214.833
114.325,217.844
122.133,215.93
124.345,217.651
122.358,220.263
131.846,219.596
136.072,220.473
134.78,226.064
132.335,228.678
136.371,228.193
144.416,230.166
148.06,238.152
153.722,244.722
162.467,243.765
171.222,242.903
171.222,242.904
127.589,213.603
128.844,212.798
129.601,213.603
128.347,214.408
127.589,213.603
127.589,213.603
88.5531,180.604
89.7604,179.799
90.9677,180.604
89.7604,181.409
88.5531,180.604
88.5531,180.604
135.235,222.436
130.84,222.737
129.927,224.746
135.235,222.436
135.235,222.436
98.477,195.427
97.3681,194.286
96.1777,196.666
98.477,195.427
98.477,195.427
111.089,196.299
109.948,195.58
108.675,196.787
111.089,196.299
111.089,196.299
91.7726,190.383
89.358,192.274
86.9761,196.208
91.7726,190.383
91.7726,190.383
103.041,192.176
101.833,191.067
100.626,193.178
101.833,194.286
103.041,192.176
103.041,192.176
100.991,185.304
100.064,184.241
96.7102,185.861
100.991,185.304
100.991,185.304
89.1155,176.174
94.2565,172.195
89.3361,173.787
84.9407,176.564
89.1155,176.174
89.1155,176.174
74.4509,173.221
76.2495,171.461
71.9407,172.09
71.0094,174.139
74.4509,173.221
74.4509,173.221
76.8738,157.559
71.2485,157.235
72.4445,159.118
76.8151,159.498
76.8738,157.559
76.8738,157.559
