"x","y"
29.7555,220.226
31.4994,216.164
34.282,212.665
37.4357,209.491
40.8637,206.617
44.5786,204.125
48.1295,201.074
51.2203,197.54
54.1029,193.834
56.8457,190.021
59.4735,186.13
61.9956,182.169
64.4088,178.14
66.6978,174.04
68.8274,169.853
70.7158,165.555
72.0412,162.41
73.6656,160.232
72.8135,163.532
71.1236,167.865
69.1054,172.055
66.8908,176.144
64.5373,180.156
62.0783,184.103
59.5311,187.995
57.1436,191.567
54.7582,195.143
52.3823,198.723
56.6869,197.31
60.9709,195.351
64.9582,193.541
69.0308,191.936
73.2062,190.617
77.4785,189.666
82.032,188.868
86.5806,188.048
91.1203,187.18
95.6369,186.194
100.076,184.913
104.324,183.098
107.053,181.692
109.593,180.037
107.21,180.802
104.914,181.857
101.781,183.2
98.5744,184.356
95.3078,185.334
91.4534,186.074
87.5503,186.506
83.6285,186.676
79.8894,186.017
82.8297,185.408
85.8822,185.272
90.2598,184.932
94.5764,184.126
98.8058,182.937
102.921,181.404
106.89,179.524
110.649,177.253
114.047,174.473
116.59,170.924
117.639,166.459
117.828,161.866
117.426,157.288
116.367,152.818
114.549,148.573
112.457,144.453
110.196,140.424
107.48,136.801
107.619,140.163
108.073,143.515
108.51,148.132
108.271,152.76
107.113,157.244
104.768,161.224
102.104,163.388
98.6772,163.811
93.864,163.151
89.4388,161.131
85.4102,158.386
81.6014,155.344
77.9067,152.162
74.2754,148.907
70.6808,145.612
67.1086,142.292
63.7191,139.142
60.3141,136.007
56.8938,132.89
53.4581,129.79
50.006,126.71
46.5365,123.649
43.0478,120.609
39.5398,117.592
36.0103,114.601
32.4564,111.638
28.8761,108.707
25.5526,105.913
22.3276,103.005
19.2127,99.9809
16.2583,96.7998
13.9259,93.1914
15.7647,90.3068
19.9863,88.8698
24.4602,88.3616
28.9601,88.2011
33.4616,88.3029
37.9487,88.6774
42.3866,89.4298
47.1698,90.7204
51.8623,92.3111
56.4561,94.1653
60.9494,96.2536
65.3397,98.5502
69.6274,101.034
73.8116,103.687
77.8943,106.495
81.8758,109.444
85.7576,112.523
89.5405,115.723
93.2248,119.035
96.8117,122.454
99.3767,124.968
101.942,127.483
104.507,129.998
104.517,126.458
104.906,121.726
105.977,117.101
107.647,112.656
109.862,108.456
112.592,104.57
115.826,101.094
119.566,98.17
123.792,96.0143
127.804,94.8129
131.975,94.4482
136.166,94.5821
139.904,94.7901
143.641,94.9981
147.379,92.8844
151.116,90.7708
155.024,88.6394
158.994,86.6223
163.016,84.7166
167.091,82.9228
171.217,81.251
175.397,79.7201
179.639,78.3705
183.957,77.2934
188.37,76.7778
185.986,78.8395
181.639,80.6573
177.67,82.3301
173.755,84.1222
169.905,86.0546
166.142,88.1488
162.491,90.4322
158.986,92.9333
155.67,95.6818
152.563,98.6199
149.757,101.843
147.625,105.54
146.277,109.595
145.289,112.813
144.133,115.975
142.818,119.074
141.389,122.738
140.161,126.476
139.041,130.248
138.024,134.047
136.806,138.573
135.414,143.049
133.814,147.455
131.977,151.767
129.888,155.963
127.548,160.024
124.976,163.942
122.202,167.72
119.261,171.369
116.187,174.908
113.016,178.206
109.545,181.186
105.719,183.691
101.582,185.642
97.2443,187.097
92.801,188.189
88.3048,189.039
83.7807,189.735
79.2658,190.437
74.7878,191.351
70.3964,192.612
66.1286,194.241
61.9632,196.121
57.8593,198.131
53.5014,200.416
49.4275,203.166
45.9043,206.597
42.6597,210.298
39.8408,213.508
36.9191,216.625
33.8357,219.581
30.2794,221.853
29.7556,220.226
29.7555,220.226
39.3996,212.213
41.9363,209.225
43.9878,206.023
40.5888,208.363
37.5356,211.19
34.6483,214.186
32.0745,217.447
32.1743,219.332
34.7377,217.128
37.1117,214.711
39.3996,212.213
39.3996,212.213
123.266,164.471
125.988,160.357
128.448,156.08
130.651,151.666
132.61,147.139
134.344,142.52
135.872,137.829
137.215,133.082
138.392,128.29
139.337,124.808
140.489,121.388
141.89,118.065
143.667,113.915
145.039,109.614
146.162,106.023
147.71,102.597
150.556,98.8797
153.896,95.5902
157.498,92.5902
161.282,89.8227
165.214,87.2668
169.276,84.9268
173.468,82.8237
175.782,81.6889
177.669,80.3061
173.415,81.5618
169.294,83.2427
165.228,85.0498
161.205,86.9498
157.227,88.9448
153.315,91.0666
149.357,93.3309
145.4,95.5951
140.783,95.6136
136.166,95.6321
131.635,95.7696
127.137,96.3142
122.808,97.6317
118.917,99.9375
115.511,102.925
112.452,106.73
110.029,110.973
108.091,115.461
106.623,120.123
105.738,124.928
105.871,129.796
107.853,134.285
110.377,138.505
112.702,142.183
114.822,145.983
116.618,149.946
117.945,154.089
118.712,158.369
118.96,162.712
119.012,166.344
119.193,169.967
121.27,167.251
123.266,164.471
123.266,164.471
103.415,160.953
105.874,156.984
106.967,152.428
107.157,147.737
106.799,143.053
106.095,138.409
105.025,134.012
102.516,130.262
99.4017,126.97
96.2015,123.759
92.9908,120.657
89.7049,117.636
86.3588,114.682
82.9483,111.801
79.443,109.035
75.4593,106.265
71.3517,103.684
67.1611,101.24
62.9045,98.9128
58.5869,96.7024
54.2037,94.6242
49.7387,92.7266
45.1455,91.1694
40.9836,90.3143
36.7713,89.7525
32.5372,89.3902
28.2913,89.2141
24.0422,89.2751
19.8431,89.8731
16.2691,91.4729
16.3694,94.9316
18.909,97.929
22.3928,101.367
26.0188,104.654
29.7555,107.816
33.4645,110.862
37.1369,113.951
40.783,117.071
44.4072,120.216
48.0134,123.383
51.6031,126.568
55.1771,129.771
58.7359,132.989
62.2811,136.224
65.8117,139.475
69.3268,142.741
72.5354,145.717
75.7706,148.664
79.0449,151.566
82.3825,154.397
85.8212,157.102
89.4284,159.577
93.2947,161.621
96.7302,162.692
100.313,162.682
103.415,160.953
103.415,160.953
