"x","y"
89.2024,186.72
92.8309,178.703
96.7619,170.845
103.102,164.819
110.825,160.711
119.44,160.262
126.942,164.678
133.005,170.969
137.583,178.405
139.654,184.306
139.851,190.5
136.827,196.548
133.646,205.379
128.512,213.179
126.244,214.69
123.976,217.714
117.173,219.226
115.661,220.738
108.857,220.738
99.2285,221.505
89.5958,220.842
80.2575,218.411
71.6637,214.03
64.2497,207.858
58.2083,200.327
55.9405,197.304
52.7716,189.419
49.8929,181.429
53.6726,176.893
54.4286,173.869
59.7202,165.554
61.2321,162.53
65.0119,160.262
70.3036,154.214
77.1071,148.923
81.5699,144.188
86.9345,140.607
89.9583,140.607
92.9821,138.339
96.006,137.583
100.576,134.617
105.077,131.536
112.224,128.331
118.685,123.976
122.701,119.305
127.0,114.905
130.78,112.637
132.292,108.857
135.315,105.077
139.333,97.2602
142.875,89.2024
145.899,84.6667
148.167,75.5952
148.167,68.7917
150.435,62.744
147.725,55.8039
144.387,49.1369
140.607,45.3571
134.849,39.2101
127.756,34.7738
120.196,40.0655
117.929,40.8214
114.688,47.0437
112.441,53.7318
110.369,60.4762
109.613,66.5238
107.345,68.7917
106.589,71.8155
102.81,80.131
100.542,83.9107
100.542,87.6905
99.4842,93.3746
98.2738,99.0298
96.006,104.321
95.5518,109.609
96.006,114.905
98.4187,122.337
102.054,129.268
104.966,133.656
107.345,138.339
108.933,143.55
109.613,148.923
108.739,154.187
108.857,159.506
109.613,164.798
111.125,167.065
112.637,176.137
109.613,181.429
108.101,187.476
108.458,194.312
109.613,201.083
110.008,208.265
109.613,215.446
109.613,225.274
108.101,232.833
105.077,237.369
104.321,240.393
101.298,244.929
101.298,249.464
99.7857,250.22
99.0298,252.488
96.7619,253.244
96.7619,254.0
92.2262,257.78
83.9845,256.876
76.3512,253.244
74.8393,251.732
74.8393,250.976
73.3274,250.976
72.5714,247.952
68.7917,241.905
